2025-10-01T20:43:51.744104457Z [inf]  2025-10-01 20:43:49,008 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: False
2025-10-01T20:43:51.744108679Z [inf]  2025-10-01 20:43:49,009 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user offline
2025-10-01T20:43:51.744113046Z [inf]  2025-10-01 20:43:49,009 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: False
2025-10-01T20:43:51.744116787Z [inf]  2025-10-01 20:43:49,009 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T20:43:51.744120538Z [err]  2025-10-01 20:43:49,422 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T20:43:51.744128128Z [inf]  2025-10-01 20:43:49,424 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T20:43:51.744132146Z [inf]  2025-10-01 20:43:49,424 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ❌ Beide Methoden bestätigen - User offline
2025-10-01T20:43:51.744136048Z [inf]  2025-10-01 20:43:49,425 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=False
2025-10-01T20:43:51.744139856Z [inf]  2025-10-01 20:43:51,427 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Starte intelligente Live-Verifikation...
2025-10-01T20:43:51.744143458Z [inf]  2025-10-01 20:43:51,427 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste TikTokLive library...
2025-10-01T20:43:51.839354806Z [inf]  2025-10-01 20:43:51,838 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive async call erfolgreich: True
2025-10-01T20:43:51.839364356Z [inf]  2025-10-01 20:43:51,838 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library bestätigt - user LIVE ✅
2025-10-01T20:43:51.839371157Z [inf]  2025-10-01 20:43:51,838 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library Ergebnis: True
2025-10-01T20:43:51.839376859Z [inf]  2025-10-01 20:43:51,838 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste HTML-Parsing von https://www.tiktok.com/@tikzzay...
2025-10-01T20:43:52.213242298Z [err]  2025-10-01 20:43:52,209 - KARMA-LiveBOT.TikTok - WARNING - TikTok tikzzay: SIGI_STATE nicht gefunden
2025-10-01T20:43:52.213248905Z [inf]  2025-10-01 20:43:52,211 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: HTML-Parsing Ergebnis: False
2025-10-01T20:43:52.213253220Z [inf]  2025-10-01 20:43:52,211 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: ✅ LIVE bestätigt via TikTokLive library (zuverlässig)!
2025-10-01T20:43:52.213259079Z [inf]  2025-10-01 20:43:52,211 - KARMA-LiveBOT - INFO - 🎵 tikzzay is LIVE on TikTok!
2025-10-01T20:43:52.213263049Z [inf]  2025-10-01 20:43:52,212 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on tiktok: is_live=True
2025-10-01T20:43:52.213267091Z [inf]  2025-10-01 20:43:52,212 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on tiktok: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:44:32.217482937Z [inf]  2025-10-01 20:44:26,671 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T20:44:32.217491661Z [inf]  2025-10-01 20:44:27,151 - KARMA-LiveBOT - INFO - 🎮 tikzzay is LIVE on Twitch!
2025-10-01T20:44:32.217497564Z [inf]  2025-10-01 20:44:27,152 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=True
2025-10-01T20:44:32.217502393Z [inf]  2025-10-01 20:44:27,152 - KARMA-LiveBOT - INFO - Creator TikZ aka. Zay on twitch: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T20:45:02.221129155Z [inf]  2025-10-01 20:45:01,796 - KARMA-LiveBOT.Stats - INFO - 📱 Running social media stats update...
