2025-10-01T12:24:50.648330331Z [inf]  2025-10-01 12:24:48,798 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:25:10.656504503Z [inf]  2025-10-01 12:25:03,663 - KARMA-LiveBOT - DEBUG - 📺 Checking 1 YouTube creators
2025-10-01T12:25:10.656513857Z [inf]  2025-10-01 12:25:03,784 - KARMA-LiveBOT - INFO - YouTube scraping for tikzzay: OFFLINE (indicators: 0)
2025-10-01T12:25:10.656520215Z [inf]  2025-10-01 12:25:03,786 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on youtube: is_live=False
2025-10-01T12:26:00.663776966Z [inf]  2025-10-01 12:25:50,819 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:26:00.663785211Z [inf]  2025-10-01 12:25:51,148 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
2025-10-01T12:26:40.657021276Z [inf]  2025-10-01 12:26:32,659 - KARMA-LiveBOT - DEBUG - 🎵 Checking 2 TikTok creators
2025-10-01T12:26:40.657027857Z [inf]  2025-10-01 12:26:32,659 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Starte intelligente Live-Verifikation...
2025-10-01T12:26:40.657032394Z [inf]  2025-10-01 12:26:32,659 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste TikTokLive library...
2025-10-01T12:26:40.657036594Z [inf]  2025-10-01 12:26:33,134 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive async call erfolgreich: True
2025-10-01T12:26:40.657040976Z [inf]  2025-10-01 12:26:33,134 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library bestätigt - user LIVE ✅
2025-10-01T12:26:40.657044996Z [inf]  2025-10-01 12:26:33,134 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: TikTokLive library Ergebnis: True
2025-10-01T12:26:40.657049458Z [inf]  2025-10-01 12:26:33,134 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: Teste HTML-Parsing von https://www.tiktok.com/@sturmpelz11...
2025-10-01T12:26:40.657053468Z [err]  2025-10-01 12:26:33,470 - KARMA-LiveBOT.TikTok - WARNING - TikTok sturmpelz11: SIGI_STATE nicht gefunden
2025-10-01T12:26:40.657057406Z [inf]  2025-10-01 12:26:33,471 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: HTML-Parsing Ergebnis: False
2025-10-01T12:26:40.657061594Z [inf]  2025-10-01 12:26:33,471 - KARMA-LiveBOT.TikTok - INFO - TikTok sturmpelz11: ✅ LIVE bestätigt via TikTokLive library (zuverlässig)!
2025-10-01T12:26:40.657065390Z [inf]  2025-10-01 12:26:33,471 - KARMA-LiveBOT - INFO - 🎵 sturmpelz11 is LIVE on TikTok!
2025-10-01T12:26:40.657069203Z [inf]  2025-10-01 12:26:33,472 - KARMA-LiveBOT - INFO - Handling stream status for ✨Sturmpelz✨ on tiktok: is_live=True
2025-10-01T12:26:40.657073406Z [inf]  2025-10-01 12:26:33,472 - KARMA-LiveBOT - INFO - Creator ✨Sturmpelz✨ on tiktok: was_live=1, last_notif=2025-10-01, today=2025-10-01, should_notify=False
2025-10-01T12:26:40.657083932Z [inf]  2025-10-01 12:26:35,473 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Starte intelligente Live-Verifikation...
2025-10-01T12:26:40.657087654Z [inf]  2025-10-01 12:26:35,473 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste TikTokLive library...
2025-10-01T12:26:40.657093018Z [inf]  2025-10-01 12:26:35,935 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive async call erfolgreich: False
2025-10-01T12:26:40.657097562Z [inf]  2025-10-01 12:26:35,935 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library bestätigt - user offline
2025-10-01T12:26:40.657101984Z [inf]  2025-10-01 12:26:35,935 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: TikTokLive library Ergebnis: False
2025-10-01T12:26:40.657105980Z [inf]  2025-10-01 12:26:35,935 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: Teste HTML-Parsing von https://www.tiktok.com/@tikzzay...
2025-10-01T12:26:40.657110490Z [err]  2025-10-01 12:26:36,338 - KARMA-LiveBOT.TikTok - WARNING - TikTok tikzzay: SIGI_STATE nicht gefunden
2025-10-01T12:26:40.657114771Z [inf]  2025-10-01 12:26:36,340 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: HTML-Parsing Ergebnis: False
2025-10-01T12:26:40.657118913Z [inf]  2025-10-01 12:26:36,340 - KARMA-LiveBOT.TikTok - INFO - TikTok tikzzay: ❌ Beide Methoden bestätigen - User offline
2025-10-01T12:26:40.657123031Z [inf]  2025-10-01 12:26:36,341 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on tiktok: is_live=False
2025-10-01T12:27:00.660687666Z [inf]  2025-10-01 12:26:53,151 - KARMA-LiveBOT - DEBUG - 🎮 Checking 1 Twitch creators
2025-10-01T12:27:00.660693468Z [inf]  2025-10-01 12:26:53,481 - KARMA-LiveBOT - INFO - Handling stream status for TikZ aka. Zay on twitch: is_live=False
